"";"PlotID";"Landscape_type_2";"Plot_type_3";"Date.start";"Date.end";"Duration";"Insects";"Ausgangsgewicht";"Ausgangsgewicht_trocken";"dung_wet";"dung_dry";"weight_loss";"weight_loss_percent";"elevation";"average_Temp_DL_exp";"average_Humidity_DL_exp";"average_Temp_DL";"av_prec_exp";"av_temp_exp";"Annual_P_LT";"Annual_T2AVG_LT"
"102";"6031_4_U";"c";"d";"15.05.2019";"13.06.2019";29;"no";450,3;108,43;237,7;49,75;58,68;54,12;285;16,65;74,04;17,8;55;17,1333333333333;670,4666667;9,546111111
"103";"6032_4_A";"b";"c";"16.05.2019";"12.06.2019";27;"yes";450,3;108,43;206,31;97,29;11,14;10,28;531;15,63;74,92;16,41;73,3333333333333;15,5666666666667;925,2666667;8,181666667
"104";"6032_4_A";"b";"c";"16.05.2019";"12.06.2019";27;"no";450;108,36;298,44;95,24;13,12;12,11;531;15,63;74,92;16,41;73,3333333333333;15,5666666666667;925,2666667;8,181666667
"105";"6032_4_F";"b";"a";"16.05.2019";"12.06.2019";27;"yes";450,4;108,46;290,02;87,18;21,28;19,62;493;15,58;78,58;16,44;61,3333333333333;16,1666666666667;853,7;8,555
"106";"6032_4_F";"b";"a";"16.05.2019";"12.06.2019";27;"no";449,3;108,19;334,67;95,77;12,42;11,48;493;15,58;78,58;16,44;61,3333333333333;16,1666666666667;853,7;8,555
"107";"6032_4_G";"b";"b";"16.05.2019";"12.06.2019";27;"yes";449,6;108,26;254,19;86,42;21,84;20,18;490;16,33;75,53;17,17;70;15,8;919,8666667;8,265
"108";"6032_4_G";"b";"b";"16.05.2019";"12.06.2019";27;"no";450,5;108,48;347,61;98,96;9,52;8,78;490;16,33;75,53;17,17;70;15,8;919,8666667;8,265
"109";"6034_2_A";"a";"c";"13.05.2019";"12.06.2019";30;"yes";449,5;108,24;111,47;68,44;39,8;36,77;415;15,58;73,64;16,72;46,3333333333333;16,2;777,7;8,4475
"110";"6034_2_A";"a";"c";"13.05.2019";"12.06.2019";30;"no";449,8;108,31;184,24;73,55;34,76;32,09;415;15,58;73,64;16,72;46,3333333333333;16,2;777,7;8,4475
"111";"6034_2_F";"a";"a";"13.05.2019";"12.06.2019";30;"yes";450,6;108,5;68,53;61,85;46,65;43;411;15,48;72,64;16,69;43;16,5;731,2;8,681388889
"112";"6034_2_F";"a";"a";"13.05.2019";"12.06.2019";30;"no";449,9;108,34;62,62;56,07;52,27;48,24;411;15,48;72,64;16,69;43;16,5;731,2;8,681388889
"113";"6034_2_G";"a";"b";"13.05.2019";"12.06.2019";30;"yes";450,5;108,48;107,69;76,82;31,66;29,19;437;15,41;72,83;16,56;47,6666666666667;16,1;804,7333333;8,357222222
"114";"6034_2_G";"a";"b";"13.05.2019";"12.06.2019";30;"no";450,6;108,5;166,5;69,14;39,36;36,28;437;15,41;72,83;16,56;47,6666666666667;16,1;804,7333333;8,357222222
"115";"6035_2_A";"c";"c";"10.05.2019";"09.06.2019";30;"yes";450,2;108,41;139,31;77,23;31,18;28,76;348;14,99;73,58;17,15;45,6666666666667;16,8;762,9666667;8,883611111
"116";"6035_2_A";"c";"c";"10.05.2019";"09.06.2019";30;"no";450,8;108,55;116,41;65,7;42,85;39,48;348;14,99;73,58;17,15;45,6666666666667;16,8;762,9666667;8,883611111
